track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,Taylor Swift,1,2023,10,26,89,6.5600000000000005,62.6,279833,54.7,0.00167,4,14.9,-8.285,1,3.42,109.946,4,0.192
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,Travis Scott & SZA & Future,3,2023,7,28,87,57.49999999999999,45.8,353755,53.5,0.0,5,16.8,-4.854,0,2.81,82.826,4,0.216
Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,Noah Kahan & Post Malone,2,2023,7,18,85,12.1,66.7,213817,61.3,0.0,8,11.3,-7.147,1,3.1300000000000003,112.046,4,0.681
exes,0HD8mbiPjp3o94X3EaZp0o,Tate McRae,1,2023,11,17,89,15.2,83.8,159400,56.89999999999999,0.0136,5,10.2,-6.324,0,6.21,136.965,4,0.551
Fighting My Demons,2c7sRekhMGlj7u1WIIzoQu,Ken Carson,1,2023,10,13,84,0.437,53.8,150402,66.9,0.0010299999999999,1,43.0,-4.97,1,5.18,141.659,4,0.0389
500lbs,6rjuKpPydT2SxN15TZpV7r,Lil Tecca,1,2023,9,22,85,9.42,72.2,144390,78.5,0.0,7,11.9,-5.451,0,7.630000000000001,122.986,4,0.529
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,56xHMIfQPoe0prrSi3BGhf,Olivia Rodrigo,1,2023,11,3,88,83.8,52.1,205484,36.6,0.0004109999999999,11,12.0,-7.698,0,3.4000000000000004,141.965,4,0.225
Houdini,4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,1,2023,11,9,93,0.36,74.4,185918,78.9,0.144,9,9.47,-4.876,0,5.9,116.985,4,0.866
Virginia Beach,3eP13S8D5m2cweMEg3ZDed,Drake,1,2023,10,6,85,10.6,40.2,251095,51.4,0.0,1,18.1,-7.322,0,4.71,120.009,4,0.2
Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1,Zach Bryan & Maggie Rogers,2,2023,1,27,84,87.4,44.7,290892,44.1,0.00436,0,18.8,-7.658,1,4.5600000000000005,122.811,4,0.286
Rich Men North of Richmond,78Du4CMFgnhdlG33gblkiP,Oliver Anthony Music,1,2023,8,11,84,75.3,67.80000000000001,187244,26.4,0.0,10,30.2,-12.384,1,6.22,121.722,4,0.528
get him back!,2gyxAWHebV7xPYVxqoi86f,Olivia Rodrigo,1,2023,9,8,88,1.35,54.6,211141,84.6,0.0,5,60.7,-5.719,1,18.1,162.043,4,0.74
Tourniquet,3EvZ03hGAFwGZ2Ebcu86YH,Zach Bryan,1,2023,8,25,83,68.4,59.3,189053,39.7,0.000744,6,9.82,-8.309,1,3.29,76.703,4,0.32
Last Night,59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,1,2023,1,31,85,45.9,51.7,163855,67.5,0.0,6,15.1,-5.382,1,3.5700000000000003,203.853,4,0.518
Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,Taylor Swift,1,2023,10,27,85,4.1000000000000005,59.5,229478,65.60000000000001,0.0,0,12.2,-7.343,1,3.7,99.994,4,0.191
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,Nicki Minaj & Ice Spice & Aqua,3,2023,6,23,88,51.9,77.0,109750,57.99999999999999,0.0127,0,23.3,-8.393,1,24.7,144.072,4,0.753
Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,Taylor Swift,1,2023,10,26,89,0.0418,57.49999999999999,231000,82.39999999999999,2.14,2,9.01,-4.823,1,3.8,94.971,4,0.292
LALA,7ABLbnD53cQK00mhcaOUVG,Myke Towers,1,2023,3,23,95,7.39,70.8,197920,73.7,0.1619999999999999,1,9.55,-4.045,1,4.36,91.986,4,0.607
FINA,3nNmRE0DxHC6ZaKkrpUumS,Bad Bunny & Young Miko,2,2023,10,13,91,8.690000000000001,84.7,216328,72.39999999999999,0.000111,1,11.8,-5.41,1,29.8,94.601,4,0.396
Wild Ones (feat. Jelly Roll),2kE2HFBFkJ0VMw3igxYohz,Jessie Murph & Jelly Roll,2,2023,10,6,83,8.780000000000001,65.0,142520,68.89999999999999,0.0,0,17.2,-3.543,1,4.49,136.03,4,0.294
Perfect Night,74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,1,2023,10,27,90,10.0,69.69999999999999,159080,82.0,0.0,5,6.3100000000000005,-4.502,1,3.08,136.054,4,0.502
Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,Morgan Wallen & ERNEST,2,2023,3,3,82,19.9,62.4,181621,76.6,0.000862,8,15.6,-3.805,1,3.5900000000000003,172.08,4,0.37
Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,Bailey Zimmerman,1,2023,5,12,82,57.7,58.2,207541,56.8,0.0,1,10.5,-7.3,1,2.75,121.991,3,0.394
We Ride,72kGuWpRiuA149Bn5lDkIO,Bryan Martin,1,2023,3,31,82,7.55,62.0,188483,70.6,0.000778,3,18.5,-4.176,1,2.51,81.989,4,0.591
all-american bitch,34sOdxWu9FljH84UXdRwu1,Olivia Rodrigo,1,2023,9,8,86,25.4,43.0,165834,69.19999999999999,0.000417,6,14.8,-4.234,1,4.29,156.261,4,0.401
Flowers,7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,1,2023,8,18,93,5.84,70.6,200600,69.1,0.00699,0,2.32,-4.775,1,6.329999999999999,118.048,4,0.632
El Azul,1haJsMtoBhHfvuM7XWuT3W,Junior H & Peso Pluma,2,2023,2,10,88,22.6,55.8,187226,64.8,0.000776,9,9.86,-7.081,0,5.5,143.876,3,0.844
La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas & Peso Pluma,2,2023,3,17,90,21.3,81.2,234353,47.9,0.000121,2,7.56,-5.678,0,33.300000000000004,169.922,4,0.559
You Broke My Heart,5Se32hEA9raeboZerywxka,Drake,1,2023,11,17,84,20.3,46.5,230709,70.0,0.0,10,29.9,-5.163,0,8.93,120.854,4,0.276
Like Crazy,58BWnoFDNaeM0vwA0K3fqb,Jimin,1,2023,3,26,90,0.25,62.9,212241,73.3,0.0,7,35.7,-5.445,1,4.19,120.001,4,0.362
Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,Drake,1,2023,4,7,83,6.03,81.69999999999999,272113,44.0,0.0001419999999999,10,33.0,-8.482,0,7.340000000000001,142.024,4,0.544
Northern Attitude (with Hozier),4oEf84vBYVftf6KmZexhVo,Noah Kahan & Hozier,2,2023,11,10,83,13.6,48.6,267256,64.0,0.00758,3,10.5,-8.027,1,5.510000000000001,122.017,4,0.289
BIPOLAR,3wlIAXSDtlD9iU8ysld06Z,Peso Pluma & Jasiel Nuñez & Junior H,3,2023,9,7,87,51.3,77.60000000000001,265045,70.1,0.0,9,9.02,-5.223,1,2.54,112.032,3,0.603
Turks & Caicos (feat. 21 Savage),3kfhS2L56Wj8fBcu7xE47H,Rod Wave & 21 Savage,2,2023,9,15,81,13.0,54.400000000000006,203442,49.6,0.0,0,16.6,-12.032,1,21.0,103.148,5,0.314
LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,Peso Pluma & Jasiel Nuñez,2,2023,6,29,87,32.800000000000004,77.0,231247,62.2,0.603,11,14.9,-10.621,1,2.6,115.952,3,0.792
